ros [ns],orocos [ms]
1452608842105940000,1452608842107
1452608842107950000,1452608842109
1452608842110170000,1452608842111
1452608842111940000,1452608842113
1452608842113940000,1452608842115
1452608842115940000,1452608842117
1452608842117940000,1452608842119
1452608842119940000,1452608842121
1452608842121950000,1452608842123
1452608842124170000,1452608842125
1452608842125940000,1452608842127
1452608842128000000,1452608842129
1452608842129940000,1452608842131
1452608842131980000,1452608842133
1452608842133980000,1452608842135
1452608842135950000,1452608842137
1452608842137940000,1452608842139
1452608842139960000,1452608842141
1452608842141960000,1452608842143
1452608842143950000,1452608842145
1452608842145950000,1452608842147
1452608842147940000,1452608842149
1452608842149980000,1452608842151
1452608842151960000,1452608842153
1452608842154000000,1452608842155
1452608842155950000,1452608842157
1452608842157940000,1452608842159
1452608842159970000,1452608842161
1452608842161960000,1452608842163
1452608842163950000,1452608842165
1452608842165950000,1452608842167
1452608842167940000,1452608842169
1452608842169970000,1452608842171
1452608842171960000,1452608842173
1452608842173980000,1452608842175
1452608842175950000,1452608842177
1452608842177940000,1452608842179
1452608842180080000,1452608842181
1452608842181950000,1452608842183
1452608842183950000,1452608842185
1452608842185950000,1452608842187
1452608842187940000,1452608842189
1452608842189970000,1452608842191
1452608842191960000,1452608842193
1452608842193950000,1452608842195
1452608842195950000,1452608842197
1452608842197940000,1452608842199
1452608842199980000,1452608842201
1452608842201960000,1452608842203
1452608842203950000,1452608842205
1452608842205930000,1452608842207
1452608842207930000,1452608842209
1452608842209970000,1452608842211
1452608842211930000,1452608842213
1452608842213920000,1452608842215
1452608842215920000,1452608842217
1452608842217930000,1452608842219
1452608842219960000,1452608842221
1452608842221910000,1452608842223
1452608842223960000,1452608842225
1452608842225930000,1452608842227
1452608842227930000,1452608842229
1452608842229970000,1452608842231
1452608842231910000,1452608842233
1452608842233960000,1452608842235
1452608842235920000,1452608842237
1452608842237930000,1452608842239
1452608842239960000,1452608842241
1452608842241910000,1452608842243
1452608842243990000,1452608842245
1452608842245930000,1452608842247
1452608842247930000,1452608842249
1452608842249960000,1452608842251
1452608842251920000,1452608842253
1452608842253920000,1452608842255
1452608842255920000,1452608842257
1452608842257920000,1452608842259
1452608842259960000,1452608842261
1452608842261920000,1452608842263
1452608842263920000,1452608842265
1452608842265920000,1452608842267
1452608842267930000,1452608842269
1452608842269960000,1452608842271
1452608842271910000,1452608842273
1452608842273960000,1452608842275
1452608842275930000,1452608842277
1452608842277920000,1452608842279
1452608842279960000,1452608842281
1452608842281920000,1452608842283
1452608842283920000,1452608842285
1452608842285930000,1452608842287
1452608842287930000,1452608842289
1452608842289960000,1452608842291
1452608842291920000,1452608842293
1452608842293910000,1452608842295
1452608842295960000,1452608842297
1452608842297920000,1452608842299
1452608842299960000,1452608842301
1452608842301920000,1452608842303
1452608842303910000,1452608842305
1452608842305960000,1452608842307
1452608842307930000,1452608842309
1452608842309910000,1452608842311
1452608842311960000,1452608842313
1452608842313920000,1452608842315
1452608842315930000,1452608842317
1452608842317920000,1452608842319
1452608842319960000,1452608842321
1452608842321920000,1452608842323
1452608842323920000,1452608842325
1452608842325930000,1452608842327
1452608842327920000,1452608842329
1452608842329960000,1452608842331
1452608842331920000,1452608842333
